       table_name        |     column_name      |          data_type          | is_nullable 
 unidades                | numero               | bigint                      | NO
 unidades                | titulo               | text                        | NO
 unidades                | competencia          | text                        | NO
 unidades                | duracion             | bigint                      | YES
 usuarios                | id                   | uuid                        | NO
 usuarios                | nombre               | text                        | NO
 usuarios                | contraseña           | text                        | NO
 usuarios                | rol_id               | uuid                        | NO
 usuarios                | correo               | text                        | NO
(125 rows)

